Player,Year,Team,Stat Type
Michael Warren II,2017,CINN,Kickoff Return
Kalen Ballage,2017,AZST,Kickoff Return
Connor Heyward,2017,MSU,Kickoff Return
Detrich Clark,2017,CSU,Kickoff Return
Saquon Barkley,2017,PSU,Kickoff Return
Braeden West,2017,SMU,Kickoff Return
Byron Pringle,2017,KSST,Kickoff Return
Ty Chandler,2017,TENN,Kickoff Return
Glenn Smith,2017,GAST,Kickoff Return
Ivory Kelly-Martin,2017,IOWA,Kickoff Return
Aaron Duckworth,2017,IDHO,Kickoff Return
Marcelias Sutton,2017,OKLA,Kickoff Return
Greg Dortch,2017,WF,Kickoff Return
Ambry Thomas,2017,MICH,Kickoff Return
Cameron Echols-Luper,2017,WKU,Kickoff Return
Evan Johnson,2017,UNT,Kickoff Return
Timothy McVey,2017,AF,Kickoff Return
Travis Etienne,2017,CLEM,Kickoff Return
Jeremiah Haydel,2017,TXST,Kickoff Return
Van Edwards Jr.,2017,AKR,Kickoff Return
Avery Williams,2017,BSU,Kickoff Return
Jonathan Haden,2017,UAB,Kickoff Return
Rodney Smith,2017,MINN,Kickoff Return
Bryce Singleton,2017,FIU,Kickoff Return
Tony Brooks-James,2017,ORE,Kickoff Return
Steven Sims Jr.,2017,KAN,Kickoff Return
Dejonte O'Neal,2017,FRES,Kickoff Return
Salvon Ahmed,2017,WASH,Kickoff Return
Andre Wilson,2017,UAB,Kickoff Return
Zamore Zigler,2017,SJSU,Kickoff Return
Kevin Johnson,2017,SMU,Kickoff Return
Shannon Brooks,2017,MINN,Kickoff Return
Berkley Edwards,2017,CMU,Kickoff Return
Raheem Blackshear,2017,RUT,Kickoff Return
Juwan Washington,2017,SDSU,Kickoff Return
Austin Trammell,2017,RICE,Kickoff Return
Michael Walker,2018,BC,Kickoff Return
Raymond Calais,2018,LA,Kickoff Return
Isaiah Wright,2018,TEM,Kickoff Return
Hassan Hall,2018,LOU,Kickoff Return
De'Quan Bowman,2018,TTU,Kickoff Return
Savon Scarver,2018,USU,Kickoff Return
Tra Minter,2018,USA,Kickoff Return
Tre Brown,2018,OKLA,Kickoff Return
Ihmir Smith-Marsette,2018,IOWA,Kickoff Return
Joe Reed,2018,UVA,Kickoff Return
Travell Harris,2018,WSU,Kickoff Return
Maurice Thomas,2018,MIOH,Kickoff Return
Tony Pollard,2018,MEM,Kickoff Return
Rondale Moore,2018,PUR,Kickoff Return
Marquis Young,2018,MASS,Kickoff Return
Isaiah Harper,2018,ODU,Kickoff Return
Kene Nwangwu,2018,IAST,Kickoff Return
Ashtyn Davis,2018,CAL,Kickoff Return
Champ Flemings,2018,ORST,Kickoff Return
Juanyeh Thomas,2018,GT,Kickoff Return
Jason Huntley,2018,NMST,Kickoff Return
Anthony Ratliff-Williams,2018,UNC,Kickoff Return
Jamauri Wakefield,2018,VAN,Kickoff Return
Demetrius Douglas,2018,MINN,Kickoff Return
Marcus Jones,2018,TROY,Kickoff Return
Kobe Lewis,2018,CMU,Kickoff Return
Deebo Samuel,2018,SCAR,Kickoff Return
Thai Cottrell,2018,SJSU,Kickoff Return
Cameron Scarlett,2018,STAN,Kickoff Return
Amare Jones,2018,TULN,Kickoff Return
Terry Juniel,2018,UTEP,Kickoff Return
Tony Brooks-James,2018,ORE,Kickoff Return
Maurice Ffrench,2018,PITT,Kickoff Return
Kerrith Whyte,2018,FAU,Kickoff Return
J.J. Taylor,2018,ARIZ,Kickoff Return
Lynn Bowden Jr.,2018,KY,Kickoff Return
Aron Cruickshank,2018,WISC,Kickoff Return
Wesley Kennedy III,2018,GSU,Kickoff Return
KJ Hamler,2018,PSU,Kickoff Return
Chuba Hubbard,2018,OKST,Kickoff Return
