Player,Year,Team,Stat Type
Riley Patterson,2017,MEM,Kicking
Sawyer Williams,2017,ARST,Kicking
Matt Anderson,2017,CAL,Kicking
Chase McGrath,2017,USC,Kicking
Cole Murphy,2017,SYR,Kicking
Parker Shaunfield,2017,USM,Kicking
Quinn Nordin,2017,MICH,Kicking
Josh Grant,2017,WMU,Kicking
Connor Martin,2017,BAY,Kicking
Aidan Schneider,2017,ORE,Kicking
John Baron II,2017,SDSU,Kicking
Griffin Oakes,2017,IND,Kicking
James Stefanou,2017,COL,Kicking
Jake Suder,2017,BGSU,Kicking
Josh Williams,2017,SMU,Kicking
Jose Borregales,2017,FIU,Kicking
Josh Pollack,2017,ARIZ,Kicking
Gary Wunderlich,2017,MISS,Kicking
Austin Parker,2017,DUKE,Kicking
Tristan Vizcaino,2017,WASH,Kicking
Matt Coghlin,2017,MSU,Kicking
Jake Verity,2017,ECU,Kicking
Charlie Kuhbander,2017,NW,Kicking
Adam Mitcheson,2017,BUFF,Kicking
Joey Slye,2017,VT,Kicking
Canon Rooker,2017,MTSU,Kicking
Cooper Rothe,2017,WYO,Kicking
Redford Jones,2017,TULS,Kicking
Jared Sackett,2017,UTSA,Kicking
Caden Novikoff,2017,HOU,Kicking
Evan Pantels,2017,UNLV,Kicking
Nick Vogel,2017,UAB,Kicking
Dylan Brown,2017,NMST,Kicking
Jace Christmann,2017,MSST,Kicking
Paul Fricano,2017,EMU,Kicking
Miguel Recinos,2017,IOWA,Kicking
Christian Hagan,2017,NIU,Kicking
Colton Lichtenberg,2017,BC,Kicking
Craig Ford,2017,ULM,Kicking
Eddy Pineiro,2017,FLA,Kicking
Gavin Patterson,2017,USA,Kicking
Gabriel Rui,2017,KAN,Kicking
Aaron Boumerhi,2017,TEM,Kicking
Drew Brown,2017,NEB,Kicking
Emmit Carpenter,2017,MINN,Kicking
Tyler Bass,2017,GSU,Kicking
Nick Rice,2017,ODU,Kicking
Joshua Rowland,2017,TEX,Kicking
Samuel Sloman,2017,MIOH,Kicking
Kaare Vedvik,2017,MRSH,Kicking
Luke Strebel,2017,AF,Kicking
Ryan Nuss,2017,WKU,Kicking
Logan Laurent,2017,MASS,Kicking
Alex Spence,2017,CLEM,Kicking
Parker White,2017,SCAR,Kicking
Alex Kessman,2017,PITT,Kicking
Michael Armstrong,2017,CMU,Kicking
Jordan Choukair,2017,ORST,Kicking
Bennett Moehring,2017,NAVY,Kicking
Evan Rabon,2017,CCU,Kicking
Cade Coffey,2017,IDHO,Kicking
Freeman Jones,2017,UNC,Kicking
Spencer Pettit,2017,NEV,Kicking
Jonathan Song,2017,TCU,Kicking
Michael Tarbutt,2017,CONN,Kicking
Bryce Crawford,2017,SJSU,Kicking
Andre Szmyt,2018,SYR,Kicking
Dominik Eberle,2018,USU,Kicking
Austin Seibert,2018,OKLA,Kicking
Cole Tracy,2018,LSU,Kicking
Matt Gay,2018,UTAH,Kicking
Tucker McCann,2018,MIZZ,Kicking
Rodrigo Blankenship,2018,UGA,Kicking
Riley Patterson,2018,MEM,Kicking
Christopher Dunn,2018,NCST,Kicking
Joseph Bulovas,2018,ALA,Kicking
Luke Logan,2018,MISS,Kicking
Matthew Wright,2018,UCF,Kicking
Matt Ammendola,2018,OKST,Kicking
Greg Huegel,2018,CLEM,Kicking
Jameson Vest,2018,TOL,Kicking
Cole Hedlund,2018,UNT,Kicking
Nick Sciba,2018,WF,Kicking
Evan Staley,2018,WVU,Kicking
Louie Zervos,2018,OHIO,Kicking
Clayton Hatfield,2018,TTU,Kicking
Cameron Dicker,2018,TEX,Kicking
Tyler Bass,2018,GSU,Kicking
Evan McPherson,2018,FLA,Kicking
Jake Pinegar,2018,PSU,Kicking
Seth Small,2018,TAMU,Kicking
Asa Fuller,2018,FRES,Kicking
Kyle Pfau,2018,LA,Kicking
Brandon Ruiz,2018,AZST,Kicking
Tyler Sumpter,2018,TROY,Kicking
Miguel Recinos,2018,IOWA,Kicking
