Player,Year,Team,Stat Type
Brendan Renius,2015,EMU,Kickoff
Marshall Morgan,2015,UGA,Kickoff
Ryan Nuss,2015,WKU,Kickoff
Parker Davidson,2015,NMST,Kickoff
Jay Mattox,2015,UTEP,Kickoff
Taylor Zalewski,2015,ILL,Kickoff
Ryan Santoso,2015,MINN,Kickoff
Lane Saling,2015,ARK,Kickoff
Michael Hill,2015,USF,Kickoff
Chris Gough,2015,RUT,Kickoff
Garrett Swanson,2015,FRES,Kickoff
Austin Taylor,2015,FIU,Kickoff
Joey Julius,2015,PSU,Kickoff
Blake Lucas,2015,MASS,Kickoff
Trevor Simms,2015,TULN,Kickoff
Paul Griggs,2015,PUR,Kickoff
Craig Ford,2015,ULM,Kickoff
Alex Wood,2015,USC,Kickoff
Daniel Grochowski,2015,ARMY,Kickoff
Christian Hagan,2015,NIU,Kickoff
Blake Brewer,2015,CHAR,Kickoff
Stevie Artigue,2015,ULL,Kickoff
Jack Fox,2015,RICE,Kickoff
Austin Seibert,2016,OKLA,Kickoff
Adam Griffith,2016,ALA,Kickoff
Redford Jones,2016,TULS,Kickoff
Tristan Vizcaino,2016,WASH,Kickoff
Alex Rinella,2016,WKU,Kickoff
Joey Slye,2016,VT,Kickoff
Jake Elliott,2016,MEM,Kickoff
Jonathan Barnes,2016,LT,Kickoff
John Baron II,2016,SDSU,Kickoff
Greg Huegel,2016,CLEM,Kickoff
Joey Julius,2016,PSU,Kickoff
Logan Tyler,2016,FSU,Kickoff
Chris Blewitt,2016,PITT,Kickoff
Tyler Durbin,2016,OSU,Kickoff
Matt Ammendola,2016,OKST,Kickoff
Michael Badgley,2016,MIA,Kickoff
Canon Rooker,2016,MTSU,Kickoff
Matt Boermeester,2016,USC,Kickoff
Cooper Rothe,2016,WYO,Kickoff
Kenny Allen,2016,MICH,Kickoff
Jason Sanders,2016,UNM,Kickoff
Luke Strebel,2016,AF,Kickoff
Aaron Medley,2016,TENN,Kickoff
Erik Powell,2016,WSU,Kickoff
Ty Cummings,2016,HOU,Kickoff
Nick Weiler,2016,UNC,Kickoff
Matt Wogan,2016,ORE,Kickoff
Zane Gonzalez,2016,AZST,Kickoff
P.J. Rosowski,2016,WISC,Kickoff
Bennett Moehring,2016,NAVY,Kickoff
Drew Galitz,2016,BAY,Kickoff
Tyler Rausa,2016,BSU,Kickoff
Nathan Noble,2016,MISS,Kickoff
Sam Vucelich,2016,TOL,Kickoff
Braden Mann,2016,TAMU,Kickoff
Bentlee Critcher,2016,APST,Kickoff
Austin Rehkow,2016,IDHO,Kickoff
Bratcher Underwood,2016,TROY,Kickoff
Emmit Carpenter,2016,MINN,Kickoff
Brendan Renius,2016,EMU,Kickoff
Harrison Butker,2016,GT,Kickoff
Mike Molina,2016,WVU,Kickoff
Noah Beito,2016,CAL,Kickoff
Cole Bunce,2016,TCU,Kickoff
Daniel Carlson,2016,AUB,Kickoff
Austin MacGinnis,2016,KY,Kickoff
Mitchell Becker,2016,TEX,Kickoff
Brad Davis,2016,ODU,Kickoff
Donald De La Haye,2016,UCF,Kickoff
Sawyer Williams,2016,ARST,Kickoff
Jake Bailey,2016,STAN,Kickoff
Braxton Davis,2016,CSU,Kickoff
Eddy Pineiro,2016,FLA,Kickoff
Tyler Bass,2016,GSU,Kickoff
Rigoberto Sanchez,2016,HAW,Kickoff
Christian Hagan,2016,NIU,Kickoff
Emilio Nadelman,2016,USF,Kickoff
Chris Francis,2016,IAST,Kickoff
Daniel Portillo,2016,UTSA,Kickoff
Tucker McCann,2016,MIZZ,Kickoff
Mike Weaver,2016,WF,Kickoff
Drew Brown,2016,NEB,Kickoff
Ron Coluzzi,2016,IOWA,Kickoff
Hayes Hicken,2016,UTAH,Kickoff
Jack Mitchell,2016,NW,Kickoff
Cameron Gamble,2016,LSU,Kickoff
JJ Molson,2016,UCLA,Kickoff
Griffin Oakes,2016,IND,Kickoff
Eric Keena,2016,UNT,Kickoff
Brent Zuzo,2016,NEV,Kickoff
Michael Carrizosa,2016,SJSU,Kickoff
Derrick Mitchell,2016,WMU,Kickoff
Kevin Cronin,2016,MSU,Kickoff
Jack Fox,2016,RICE,Kickoff
Jake Thompson,2016,USU,Kickoff
Blake Brewer,2016,CHAR,Kickoff
Parker Davidson,2016,NMST,Kickoff
Blanton Creque,2016,LOU,Kickoff
Amoreto Curraj,2016,MRSH,Kickoff
Greg Joseph,2016,FAU,Kickoff
Elliott Fry,2016,SCAR,Kickoff
Jay Mattox,2016,UTEP,Kickoff
Corey Edwards,2016,BYU,Kickoff
Rodrigo Blankenship,2016,UGA,Kickoff
Justin Yoon,2016,ND,Kickoff
Stevie Artigue,2016,LA,Kickoff
Mike Caggiano,2016,MASS,Kickoff
Austin Taylor,2016,FIU,Kickoff
Matthew Wyman,2016,KAN,Kickoff
Mike Knoll,2016,BC,Kickoff
Nick Fields,2016,BGSU,Kickoff
Adley Rutschman,2016,ORST,Kickoff
Cole Murphy,2016,SYR,Kickoff
Chris Graham,2016,COL,Kickoff
Craig Ford,2016,ULM,Kickoff
Gavin Patterson,2016,USA,Kickoff
Ryan Jones,2016,CINN,Kickoff
Aaron Boumerhi,2016,TEM,Kickoff
Samuel Sloman,2016,MIOH,Kickoff
Tyler Sarrazin,2016,USM,Kickoff
B.T. Potter,2018,CLEM,Kickoff
Austin Seibert,2018,OKLA,Kickoff
Dominik Eberle,2018,USU,Kickoff
Joseph Bulovas,2018,ALA,Kickoff
Riley Patterson,2018,MEM,Kickoff
Rodrigo Blankenship,2018,UGA,Kickoff
Sterling Hofrichter,2018,SYR,Kickoff
Tucker McCann,2018,MIZZ,Kickoff
Jameson Vest,2018,TOL,Kickoff
Matthew Wright,2018,UCF,Kickoff
Blake Haubeil,2018,OSU,Kickoff
Caden Novikoff,2018,HOU,Kickoff
Jake McClure,2018,OKST,Kickoff
Adam Mitcheson,2018,BUFF,Kickoff
Jack Crane,2018,WSU,Kickoff
Cameron Dicker,2018,TEX,Kickoff
Matt Gay,2018,UTAH,Kickoff
Michael Rubino,2018,APST,Kickoff
Jake Moody,2018,MICH,Kickoff
Nick Vogel,2018,UAB,Kickoff
Clayton Hatfield,2018,TTU,Kickoff
Asa Fuller,2018,FRES,Kickoff
Evan McPherson,2018,FLA,Kickoff
Braden Mann,2018,TAMU,Kickoff
Avery Atkins,2018,LSU,Kickoff
Ramiz Ahmed,2018,NEV,Kickoff
Michael Farkas,2018,OHIO,Kickoff
Luke Logan,2018,MISS,Kickoff
Brandon Ruiz,2018,AZST,Kickoff
Tyler Bass,2018,GSU,Kickoff
Lucas Havrisik,2018,ARIZ,Kickoff
Kyle Bambard,2018,NCST,Kickoff
Rafael Checa,2018,PSU,Kickoff
Miguel Recinos,2018,IOWA,Kickoff
Ethan Mooney,2018,UNT,Kickoff
Jordan Stout,2018,VT,Kickoff
Brian Delaney,2018,UVA,Kickoff
Alex Kessman,2018,PITT,Kickoff
Ryan Jones,2018,CINN,Kickoff
Jake Bailey,2018,STAN,Kickoff
Spencer Evans,2018,PUR,Kickoff
Zach Emerson,2018,ORE,Kickoff
Ryley Guay,2018,VAN,Kickoff
Anders Carlson,2018,AUB,Kickoff
Bratcher Underwood,2018,TROY,Kickoff
Shawn Davis,2018,GT,Kickoff
Emmit Carpenter,2018,MINN,Kickoff
Justin Rohrwasser,2018,MRSH,Kickoff
Peyton Henry,2018,WASH,Kickoff
Scott Goodman,2018,MSST,Kickoff
Bubba Baxa,2018,MIA,Kickoff
Zach Hintze,2018,WISC,Kickoff
Evan Staley,2018,WVU,Kickoff
Landon Salyers,2018,ARMY,Kickoff
Chase McLaughlin,2018,ILL,Kickoff
Will Mobley,2018,TEM,Kickoff
Grant McKinniss,2018,KY,Kickoff
Kyle Pfau,2018,LA,Kickoff
Darren Ford,2018,WF,Kickoff
Samuel Sloman,2018,MIOH,Kickoff
Joel Velazquez,2018,BSU,Kickoff
Alex Stadthaus,2018,USC,Kickoff
Sean Young,2018,FIU,Kickoff
John Baron II,2018,SDSU,Kickoff
Davis Price,2018,COL,Kickoff
JJ Molson,2018,UCLA,Kickoff
Zachary Block,2018,TULN,Kickoff
Caleb Pratt,2018,ECU,Kickoff
Andrew Mikkelsen,2018,BYU,Kickoff
Chris Francis,2018,IAST,Kickoff
