Player,Year,Team,Stat Type
Conner Floyd,2015,TULS,Punt Return
Trey Dudley-Giles,2015,MASS,Punt Return
Jalen McCleskey,2015,OKST,Punt Return
Reggie Davis,2015,UGA,Punt Return
Michael Shelton,2015,BYU,Punt Return
Miles Shuler,2015,NW,Punt Return
Gabe Marks,2015,WSU,Punt Return
Jenson Stoshak,2015,FAU,Punt Return
Tyler Ervin,2015,SJSU,Punt Return
Edgar Poe,2015,ARMY,Punt Return
Alvin Kamara,2015,TENN,Punt Return
Kylen Towner,2015,WKU,Punt Return
Papi White,2015,OHIO,Punt Return
Jared Cornelius,2015,ARK,Punt Return
D.J. Dean,2015,ARK,Punt Return
Chris Murray,2015,ARST,Punt Return
Tabari Hines,2015,WF,Punt Return
Daniel Braverman,2015,WMU,Punt Return
Jalen Richard,2015,USM,Punt Return
Jacob Martinez,2015,BUFF,Punt Return
Trent Taylor,2015,LT,Punt Return
Cameron Batson,2015,TTU,Punt Return
Elijah McGuire,2015,ULL,Punt Return
Travonne Hobbs,2015,UTAH,Punt Return
Victor Bolden,2015,ORST,Punt Return
Tyquwan Glass,2015,FRES,Punt Return
Carlos Davis,2015,MISS,Punt Return
Derrick Dick,2015,UTSA,Punt Return
Ed'Marques Batties,2015,MTSU,Punt Return
Tanner Gentry,2015,WYO,Punt Return
Darion Monroe,2015,TULN,Punt Return
Tyler Rouse,2016,BC,Punt Return
Adoree' Jackson,2016,USC,Punt Return
Jabrill Peppers,2016,MICH,Punt Return
Dante Pettis,2016,WASH,Punt Return
Brisly Estime,2016,SYR,Punt Return
Christian Kirk,2016,TAMU,Punt Return
Travonne Hobbs,2016,UTAH,Punt Return
Quest Truxton,2016,SDSU,Punt Return
Desmond King,2016,IOWA,Punt Return
JoJo Natson,2016,AKR,Punt Return
Tim White,2016,AZST,Punt Return
Eddie Jackson,2016,ALA,Punt Return
Quadree Henderson,2016,PITT,Punt Return
Isaiah McKenzie,2016,UGA,Punt Return
Blaise Taylor,2016,ARST,Punt Return
Darius Phillips,2016,WMU,Punt Return
Antonio Callaway,2016,FLA,Punt Return
Braxton Berrios,2016,MIA,Punt Return
Daniel Hamm,2016,UVA,Punt Return
D'Ernest Johnson,2016,USF,Punt Return
